path	owner	role	disposition
packages/standalone-build/OBFUSCATION_AND_SPAGHETTIFICATION_CONTEXT.md	kit-proprietary	standalone-pipeline	migrate
packages/standalone-build/OBFUSCATOR_ARCHITECTURE_REVIEW.md	kit-proprietary	standalone-pipeline	migrate
packages/standalone-build/README.md	kit-proprietary	standalone-pipeline	migrate
packages/standalone-build/SOP_PRODUCTION_PLUGIN_DEPLOYMENT.md	kit-proprietary	standalone-pipeline	migrate
packages/standalone-build/artifact-fixture-helper.mjs	kit-proprietary	standalone-pipeline	migrate
packages/standalone-build/artifact-prefix-inventory.mjs	kit-proprietary	standalone-pipeline	migrate
packages/standalone-build/assemble-profile-a-candidate.mjs	kit-proprietary	standalone-pipeline	migrate
packages/standalone-build/assemble-profile-s-candidate.mjs	kit-proprietary	standalone-pipeline	migrate
packages/standalone-build/build-all-standalone-plugins.mjs	kit-proprietary	standalone-pipeline	migrate
packages/standalone-build/build-cache-engine.mjs	kit-proprietary	standalone-pipeline	migrate
packages/standalone-build/build-dag-runner.mjs	kit-proprietary	standalone-pipeline	migrate
packages/standalone-build/build-plan.mjs	kit-proprietary	standalone-pipeline	migrate
packages/standalone-build/canonical-artifact-manifest.mjs	kit-proprietary	standalone-pipeline	migrate
packages/standalone-build/class-completeness-gate.mjs	kit-proprietary	standalone-pipeline	migrate
packages/standalone-build/composer-dependency-inventory.mjs	kit-proprietary	standalone-pipeline	migrate
packages/standalone-build/deploy-standalone-plugin.mjs	kit-proprietary	standalone-pipeline	migrate
packages/standalone-build/dev-purge-policy.mjs	kit-proprietary	standalone-pipeline	migrate
packages/standalone-build/dev/ast-assertion-audit-report.json	kit-proprietary	standalone-pipeline	migrate
packages/standalone-build/dev/ast-assertion-auditor.mjs	kit-proprietary	standalone-pipeline	migrate
packages/standalone-build/dev/build-performance-benchmark.json	kit-proprietary	standalone-pipeline	migrate
packages/standalone-build/dev/profile-tests.mjs	kit-proprietary	standalone-pipeline	migrate
packages/standalone-build/dev/run-benchmark.mjs	kit-proprietary	standalone-pipeline	migrate
packages/standalone-build/dev/run-tests.mjs	kit-proprietary	standalone-pipeline	migrate
packages/standalone-build/dev/runner-invocation-trace.json	kit-proprietary	standalone-pipeline	migrate
packages/standalone-build/dev/trace-all-runners.mjs	kit-proprietary	standalone-pipeline	migrate
packages/standalone-build/dev/trace-execution.mjs	kit-proprietary	standalone-pipeline	migrate
packages/standalone-build/diagnostic-artifact-verifier.php	kit-proprietary	standalone-pipeline	migrate
packages/standalone-build/framework-closure-inventory.mjs	kit-proprietary	standalone-pipeline	migrate
packages/standalone-build/framework-template-inventory.mjs	kit-proprietary	standalone-pipeline	migrate
packages/standalone-build/generate-closure-review-manifest.mjs	kit-proprietary	standalone-pipeline	migrate
packages/standalone-build/generate-serialized-callback-review-manifest.mjs	kit-proprietary	standalone-pipeline	migrate
packages/standalone-build/generate-settings-ownership-review-manifest.mjs	kit-proprietary	standalone-pipeline	migrate
packages/standalone-build/generate-signed-release-manifest.mjs	kit-proprietary	standalone-pipeline	migrate
packages/standalone-build/heavy-obfuscator.php	kit-proprietary	standalone-pipeline	migrate
packages/standalone-build/hook-contract-inventory.mjs	kit-proprietary	standalone-pipeline	migrate
packages/standalone-build/inline-wpdev-closure.mjs	kit-proprietary	standalone-pipeline	migrate
packages/standalone-build/module-loader-coexistence-gate.mjs	kit-proprietary	standalone-pipeline	migrate
packages/standalone-build/package.json	kit-proprietary	standalone-pipeline	migrate
packages/standalone-build/plan3/symbol-analyzer.php	kit-proprietary	standalone-pipeline	migrate
packages/standalone-build/plan3/transformer.php	kit-proprietary	standalone-pipeline	migrate
packages/standalone-build/prepare-artifact-phpunit-harness.mjs	kit-proprietary	standalone-pipeline	migrate
packages/standalone-build/profile-s-fail-closed.mjs	kit-proprietary	standalone-pipeline	migrate
packages/standalone-build/protection-inventory.mjs	kit-proprietary	standalone-pipeline	migrate
packages/standalone-build/rector-downgrade-php74.php	kit-proprietary	standalone-pipeline	migrate
packages/standalone-build/refresh-pre-registry-candidate-digests.mjs	kit-proprietary	standalone-pipeline	migrate
packages/standalone-build/resolve-content-root.mjs	kit-proprietary	standalone-pipeline	migrate
packages/standalone-build/run-plan3-eligibility-spike.mjs	kit-proprietary	standalone-pipeline	migrate
packages/standalone-build/run-protection-gates.mjs	kit-proprietary	standalone-pipeline	migrate
packages/standalone-build/safe-ast-obfuscator.php	kit-proprietary	standalone-pipeline	migrate
packages/standalone-build/serialized-callback-inventory.mjs	kit-proprietary	standalone-pipeline	migrate
packages/standalone-build/settings-field-inventory.mjs	kit-proprietary	standalone-pipeline	migrate
packages/standalone-build/target-registry.mjs	kit-proprietary	standalone-pipeline	migrate
packages/standalone-build/test-dependency-registry.mjs	kit-proprietary	standalone-pipeline	migrate
packages/standalone-build/test-impact-map.mjs	kit-proprietary	standalone-pipeline	migrate
packages/standalone-build/tests-docker/docker-runtime-smoke.test.mjs	kit-proprietary	test	oracle-source
packages/standalone-build/tests/artifact-fixture-helper.test.mjs	kit-proprietary	test	oracle-source
packages/standalone-build/tests/artifact-manifest-tamper-resistance.test.mjs	kit-proprietary	test	oracle-source
packages/standalone-build/tests/artifact-prefix-inventory.test.mjs	kit-proprietary	test	oracle-source
packages/standalone-build/tests/atomic-deploy-and-cache-integrity.test.mjs	kit-proprietary	test	oracle-source
packages/standalone-build/tests/build-dag-runner.test.mjs	kit-proprietary	test	oracle-source
packages/standalone-build/tests/class-completeness-gate.test.mjs	kit-proprietary	test	oracle-source
packages/standalone-build/tests/dag-cancellation-subprocess.test.mjs	kit-proprietary	test	oracle-source
packages/standalone-build/tests/dev-purge-policy.test.mjs	kit-proprietary	test	oracle-source
packages/standalone-build/tests/docker-receipt-binding.test.mjs	kit-proprietary	test	oracle-source
packages/standalone-build/tests/f01-atomic-deploy-rollback-fsync.test.mjs	kit-proprietary	test	oracle-source
packages/standalone-build/tests/f02-transaction-locking.test.mjs	kit-proprietary	test	oracle-source
packages/standalone-build/tests/f03-direct-deploy-journal-recovery.test.mjs	kit-proprietary	test	oracle-source
packages/standalone-build/tests/f04-zip-snapshot-integrity.test.mjs	kit-proprietary	test	oracle-source
packages/standalone-build/tests/f05-f06-cache-profile-separation.test.mjs	kit-proprietary	test	oracle-source
packages/standalone-build/tests/f07-php74-target-syntax-gate.test.mjs	kit-proprietary	test	oracle-source
packages/standalone-build/tests/f08-path-and-autoload-validation.test.mjs	kit-proprietary	test	oracle-source
packages/standalone-build/tests/f09-f10-f11-transformer-semantics.test.mjs	kit-proprietary	test	oracle-source
packages/standalone-build/tests/f12-consumer-release-alignment.test.mjs	kit-proprietary	test	oracle-source
packages/standalone-build/tests/f13-in-flight-drain-and-health.test.mjs	kit-proprietary	test	oracle-source
packages/standalone-build/tests/f14-bounded-inflate-and-zip-reproducibility.test.mjs	kit-proprietary	test	oracle-source
packages/standalone-build/tests/framework-closure-inventory.test.mjs	kit-proprietary	test	oracle-source
packages/standalone-build/tests/framework-template-inventory.test.mjs	kit-proprietary	test	oracle-source
packages/standalone-build/tests/generate-serialized-callback-review-manifest.test.mjs	kit-proprietary	test	oracle-source
packages/standalone-build/tests/helpers/transformer-fixture-harness.mjs	kit-proprietary	test	oracle-source
